Name,Duration,IsExplicit,Id,Uri,Artists,MainArtistName,MainArtistId,Album,AlbumId,PlayedAt
Sweet Memory,133383,False,3dWNxcNW2N0mXTHoFQq2yI,spotify:track:3dWNxcNW2N0mXTHoFQq2yI,"[{""name"": ""ARTHUR"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0vIme0FGc4SmFByKiV27tw""}, ""uri"": ""spotify:artist:0vIme0FGc4SmFByKiV27tw"", ""href"": ""https://api.spotify.com/v1/artists/0vIme0FGc4SmFByKiV27tw"", ""type"": ""artist"", ""id"": ""0vIme0FGc4SmFByKiV27tw""}]",ARTHUR,0vIme0FGc4SmFByKiV27tw,Woof Woof,spotify:album:6aD4jFBf2M4Z7kPyvktVdq,2019-06-27T15:54:28.710Z
リラックマたちとの暮らし,88366,False,4sme9us2oEfWUHbYY6Eyas,spotify:track:4sme9us2oEfWUHbYY6Eyas,"[{""name"": ""Shigeru Kishida"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/62TpalmxXUjLKyxJUgZt6W""}, ""uri"": ""spotify:artist:62TpalmxXUjLKyxJUgZt6W"", ""href"": ""https://api.spotify.com/v1/artists/62TpalmxXUjLKyxJUgZt6W"", ""type"": ""artist"", ""id"": ""62TpalmxXUjLKyxJUgZt6W""}]",Shigeru Kishida,62TpalmxXUjLKyxJUgZt6W,リラックマとカオルさん オリジナル・サウンドトラック (NETFLIXオリジナルシリーズ),spotify:album:6hIIo91PPvrp8J0YWjobP1,2019-06-27T15:09:25.463Z
Dead Presidents II,212500,False,1Aolp4EY0RN69okQrDRGBc,spotify:track:1Aolp4EY0RN69okQrDRGBc,"[{""name"": ""Jay Z"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/2KUhiqlXzyDGS97SSaUsqn""}, ""uri"": ""spotify:artist:2KUhiqlXzyDGS97SSaUsqn"", ""href"": ""https://api.spotify.com/v1/artists/2KUhiqlXzyDGS97SSaUsqn"", ""type"": ""artist"", ""id"": ""2KUhiqlXzyDGS97SSaUsqn""}]",Jay Z,2KUhiqlXzyDGS97SSaUsqn,Hip-Hop Classics 1996,spotify:album:14Lst13cITSSPNGcLp9iLC,2019-06-27T15:24:13.453Z
Ultrafiche of You,299745,False,4JNZQHvgLmeTELC5AP6uGN,spotify:track:4JNZQHvgLmeTELC5AP6uGN,"[{""name"": ""Com Truise"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/2wouN3QXejYa5tKetYdcVX""}, ""uri"": ""spotify:artist:2wouN3QXejYa5tKetYdcVX"", ""href"": ""https://api.spotify.com/v1/artists/2wouN3QXejYa5tKetYdcVX"", ""type"": ""artist"", ""id"": ""2wouN3QXejYa5tKetYdcVX""}]",Com Truise,2wouN3QXejYa5tKetYdcVX,Persuasion System,spotify:album:2Takb3WbmLXRVvXiFfnjnk,2019-06-27T15:52:14.836Z
1:04 PM,130552,False,3OL4SqC49GzFQ6OshxNUr0,spotify:track:3OL4SqC49GzFQ6OshxNUr0,"[{""name"": ""Quadry"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/2pzBpiI8GzFAEauiwvjVsR""}, ""uri"": ""spotify:artist:2pzBpiI8GzFAEauiwvjVsR"", ""href"": ""https://api.spotify.com/v1/artists/2pzBpiI8GzFAEauiwvjVsR"", ""type"": ""artist"", ""id"": ""2pzBpiI8GzFAEauiwvjVsR""}]",Quadry,2pzBpiI8GzFAEauiwvjVsR,Malik Ruff,spotify:album:5t9IVhwtH2xAXwISKkLqIi,2019-06-27T15:15:20.968Z
Liberty,160226,False,2q2EAq1UZQGenqXZgBkLbu,spotify:track:2q2EAq1UZQGenqXZgBkLbu,"[{""name"": ""Amnesty"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/13clnHtI56jEGjzqeD0Q1o""}, ""uri"": ""spotify:artist:13clnHtI56jEGjzqeD0Q1o"", ""href"": ""https://api.spotify.com/v1/artists/13clnHtI56jEGjzqeD0Q1o"", ""type"": ""artist"", ""id"": ""13clnHtI56jEGjzqeD0Q1o""}]",Amnesty,13clnHtI56jEGjzqeD0Q1o,Free Your Mind,spotify:album:6egPdO2BtKte1CZpOd6Oxj,2019-06-27T15:20:40.545Z
Pray,280699,False,1MJUvkDWM7bdgah1kT3BsL,spotify:track:1MJUvkDWM7bdgah1kT3BsL,"[{""name"": ""Jungle"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/59oA5WbbQvomJz2BuRG071""}, ""uri"": ""spotify:artist:59oA5WbbQvomJz2BuRG071"", ""href"": ""https://api.spotify.com/v1/artists/59oA5WbbQvomJz2BuRG071"", ""type"": ""artist"", ""id"": ""59oA5WbbQvomJz2BuRG071""}]",Jungle,59oA5WbbQvomJz2BuRG071,For Ever,spotify:album:1VZxGX1lzF1QjY5QofhC5r,2019-06-27T14:57:38.797Z
The Story Of Adidon,193410,False,2JQi5RE10cJLUUHVDocy7C,spotify:track:2JQi5RE10cJLUUHVDocy7C,"[{""name"": ""DJ BomaNdoki"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0VNa1CNqbWJ217OhBf5ADa""}, ""uri"": ""spotify:artist:0VNa1CNqbWJ217OhBf5ADa"", ""href"": ""https://api.spotify.com/v1/artists/0VNa1CNqbWJ217OhBf5ADa"", ""type"": ""artist"", ""id"": ""0VNa1CNqbWJ217OhBf5ADa""}, {""name"": ""Bousmara Division N\u00b01"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/7kiuLspTCXvGxfTFKV6qHy""}, ""uri"": ""spotify:artist:7kiuLspTCXvGxfTFKV6qHy"", ""href"": ""https://api.spotify.com/v1/artists/7kiuLspTCXvGxfTFKV6qHy"", ""type"": ""artist"", ""id"": ""7kiuLspTCXvGxfTFKV6qHy""}]",DJ BomaNdoki,0VNa1CNqbWJ217OhBf5ADa,The King #LA,spotify:album:2cgeVQfo4c00e0f52hWz8a,2019-06-27T15:07:55.604Z
Lonely Feelings,258493,False,0RtkHfadSVMBrbCdiu5ZKh,spotify:track:0RtkHfadSVMBrbCdiu5ZKh,"[{""name"": ""Love Supreme"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/29KoQai9cdLvwkP97hZ4W7""}, ""uri"": ""spotify:artist:29KoQai9cdLvwkP97hZ4W7"", ""href"": ""https://api.spotify.com/v1/artists/29KoQai9cdLvwkP97hZ4W7"", ""type"": ""artist"", ""id"": ""29KoQai9cdLvwkP97hZ4W7""}]",Love Supreme,29KoQai9cdLvwkP97hZ4W7,Love Supreme,spotify:album:6bwTF3VBqO517fJeGrAGVX,2019-06-27T15:30:07.567Z
"U Say (feat. Tyler, The Creator & Jay Prince)",201240,True,2p37Mfy2PWajgOS3i2aaep,spotify:track:2p37Mfy2PWajgOS3i2aaep,"[{""name"": ""GoldLink"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/5XenQ7XfcvQdfIbpLEFaKQ""}, ""uri"": ""spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ"", ""href"": ""https://api.spotify.com/v1/artists/5XenQ7XfcvQdfIbpLEFaKQ"", ""type"": ""artist"", ""id"": ""5XenQ7XfcvQdfIbpLEFaKQ""}, {""name"": ""Tyler, The Creator"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF""}, ""uri"": ""spotify:artist:4V8LLVI7PbaPR0K2TGSxFF"", ""href"": ""https://api.spotify.com/v1/artists/4V8LLVI7PbaPR0K2TGSxFF"", ""type"": ""artist"", ""id"": ""4V8LLVI7PbaPR0K2TGSxFF""}, {""name"": ""Jay Prince"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/2TLYSzGyVYkxAgYSCqUnQj""}, ""uri"": ""spotify:artist:2TLYSzGyVYkxAgYSCqUnQj"", ""href"": ""https://api.spotify.com/v1/artists/2TLYSzGyVYkxAgYSCqUnQj"", ""type"": ""artist"", ""id"": ""2TLYSzGyVYkxAgYSCqUnQj""}]",GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,Diaspora,spotify:album:790qROmQ1y4aPEYLcSkScH,2019-06-19T15:51:05.823Z
