"weekday" "time"
2 8.01666666666667
4 8.58333333333333
5 8.58333333333333
6 8.5
7 9.03333333333333
1 9.03333333333333
2 9.58333333333333
3 9.06666666666667
4 9.31666666666667
5 9.41666666666667
6 9.43333333333333
7 9.11666666666667
1 8.93333333333333
2 9.28333333333333
3 9.63333333333333
4 6.88333333333333
5 10.55
6 8.9
7 9.18333333333333
1 7.15
2 9.91666666666667
3 9.93333333333333
4 8.98333333333333
5 9.41666666666667
6 9.56666666666667
7 9.25
1 9.71666666666667
2 8.46666666666667
3 8.95
4 8.71666666666667
6 8.56666666666667
7 9.2
1 8.31666666666667
2 9.16666666666667
3 3.23333333333333
4 16.05
5 9.63333333333333
6 7.58333333333333
7 5.51666666666667
1 11.1
2 4.98333333333333
3 12.6166666666667
4 10.85
5 15.3666666666667
6 11.6
7 11.9666666666667
1 9.16666666666667
3 9
4 7.65
5 9.45
6 10.4833333333333
7 7
1 10.8833333333333
2 10.7166666666667
3 9.36666666666667
4 8.06666666666667
5 8.15
6 8.95
7 10.3166666666667
1 11.1166666666667
2 9.51666666666667
3 9.46666666666667
4 10.1
5 6.48333333333333
6 9.5
7 9.56666666666667
1 7.51666666666667
2 7.56666666666667
3 9.2
4 9.38333333333333
5 8.48333333333333
6 9.65
7 9.68333333333333
1 9.48333333333333
2 9.21666666666667
3 9.26666666666667
4 9.2
5 8.65
6 10.6666666666667
7 9.6
1 4.95
3 8.71666666666667
4 7.73333333333333
5 13.1666666666667
6 9.43333333333333
7 11
1 9.93333333333333
2 9
3 10.75
4 9.91666666666667
5 3.91666666666667
6 10.2333333333333
7 9.35
1 3.83333333333333
2 9.76666666666667
3 5.98333333333333
5 5.98333333333333
1 9.9
2 9.2
3 9.65
4 10.2833333333333
5 9.13333333333333
6 9.41666666666667
7 10.1166666666667
1 10.4833333333333
2 9.56666666666667
3 8.86666666666667
4 6.46666666666667
5 4.73333333333333
6 9.28333333333333
7 8.83333333333333
1 8.98333333333333
2 8.9
3 8.85
4 8.31666666666667
5 8.65
6 9.51666666666667
7 8.41666666666667
1 9.11666666666667
2 8.6
3 8.43333333333333
4 8.9
5 8.88333333333333
6 9.01666666666667
7 9.1
1 7.56666666666667
2 8.7
3 7.36666666666667
4 5.21666666666667
5 7.48333333333333
7 11.5
1 9.78333333333333
2 8.2
3 8.28333333333333
4 8.6
