date,efficiency,startTime,endTime,timeInBed,minutesAsleep,restlessCount,minutesAfterWakeup,minutesToFallAsleep,minutesAwake,restlessDuration,deep,light,rem,wake
2019-07-21,91,2019-07-21T00:28:00.000,2019-07-21T07:00:00.000,392,358,10,0,0,34,29,88,165,84,55
2019-07-22,90,2019-07-22T00:44:30.000,2019-07-22T10:53:30.000,609,547,42,0,0,62,60,114,306,110,79
2019-07-23,90,2019-07-23T01:55:00.000,2019-07-23T10:43:30.000,528,476,30,0,0,52,48,89,280,94,65
2019-07-24,91,2019-07-24T01:13:30.000,2019-07-24T09:22:30.000,489,444,31,0,0,45,42,70,271,91,57
2019-07-25,90,2019-07-25T00:41:00.000,2019-07-25T08:04:00.000,443,399,24,2,0,42,44,71,246,82,44
2019-07-26,95,2019-07-26T02:16:00.000,2019-07-26T08:09:00.000,353,334,13,0,0,19,18,73,178,67,35
2019-07-27,86,2019-07-27T00:12:30.000,2019-07-27T08:57:00.000,524,453,27,0,0,71,61,92,226,119,87
2019-07-28,93,2019-07-28T01:27:00.000,2019-07-28T10:19:00.000,532,493,17,1,0,38,36,81,260,109,82
2019-07-29,87,2019-07-29T02:05:00.000,2019-07-29T11:07:30.000,542,464,31,7,0,71,74,114,212,143,73
2019-07-30,88,2019-07-30T02:14:30.000,2019-07-30T09:31:00.000,436,384,29,0,0,52,52,103,185,89,59
2019-07-31,96,2019-07-31T02:18:30.000,2019-07-31T09:28:30.000,430,411,17,0,0,19,19,101,207,65,57
2019-08-01,94,2019-08-01T01:29:00.000,2019-08-01T10:06:30.000,517,483,18,5,0,29,27,125,230,112,50
2019-08-02,89,2019-08-02T00:53:00.000,2019-08-02T06:29:00.000,336,298,14,0,0,38,34,67,194,28,47
2019-08-03,92,2019-08-03T01:04:00.000,2019-08-03T09:30:30.000,506,467,22,0,0,39,39,102,208,148,48
2019-08-04,91,2019-08-04T01:06:00.000,2019-08-04T09:34:00.000,508,462,32,0,0,46,42,107,220,104,77
2019-08-05,92,2019-08-05T00:41:00.000,2019-08-05T07:31:30.000,410,376,17,0,0,34,28,103,161,103,43
2019-08-06,94,2019-08-06T00:15:30.000,2019-08-06T07:34:30.000,439,412,12,2,0,25,23,96,196,94,53
2019-08-07,90,2019-08-07T01:07:30.000,2019-08-07T09:12:00.000,484,436,30,0,0,48,40,81,242,84,77
2019-08-08,88,2019-08-07T23:16:30.000,2019-08-08T09:23:00.000,606,536,28,0,0,70,69,104,288,150,64
2019-08-09,89,2019-08-09T00:33:00.000,2019-08-09T08:29:00.000,476,423,25,0,0,53,53,87,244,82,63
2019-08-10,91,2019-08-10T01:53:00.000,2019-08-10T09:39:30.000,466,417,27,6,0,43,42,80,236,73,77
2019-08-11,92,2019-08-11T01:21:30.000,2019-08-11T09:41:30.000,500,459,14,0,0,41,36,91,224,114,71
2019-08-12,93,2019-08-12T01:33:00.000,2019-08-12T09:29:30.000,476,441,17,0,0,35,33,89,222,106,59
2019-08-13,91,2019-08-13T01:23:00.000,2019-08-13T09:13:30.000,470,430,15,0,0,40,35,93,217,99,61
2019-08-14,89,2019-08-14T01:11:00.000,2019-08-14T09:16:30.000,485,424,25,8,0,53,53,103,202,126,54
2019-08-15,94,2019-08-15T00:53:30.000,2019-08-15T09:12:00.000,498,468,16,1,0,29,29,109,247,80,62
2019-08-16,96,2019-08-16T02:19:30.000,2019-08-16T08:39:00.000,379,357,10,6,0,16,22,72,200,54,53
2019-08-17,90,2019-08-17T01:57:30.000,2019-08-17T10:40:30.000,523,473,24,0,0,50,38,62,234,173,54
2019-08-18,93,2019-08-18T02:25:30.000,2019-08-18T09:36:00.000,430,398,17,0,0,32,25,69,232,76,53
2019-08-19,98,2019-08-19T00:01:00.000,2019-08-19T04:57:00.000,296,290,2,0,0,6,2,41,163,69,23
2019-08-21,87,2019-08-21T01:20:30.000,2019-08-21T08:43:30.000,443,387,28,0,0,56,46,104,191,71,77
2019-08-22,91,2019-08-22T00:37:30.000,2019-08-22T07:44:00.000,426,382,21,5,0,39,39,56,260,42,68
2019-08-23,95,2019-08-23T07:44:30.000,2019-08-23T13:10:00.000,325,307,13,1,0,17,18,66,144,66,49
2019-08-24,91,2019-08-24T00:55:00.000,2019-08-24T09:26:00.000,511,462,29,3,0,46,45,81,226,133,71
2019-08-25,90,2019-08-25T02:46:30.000,2019-08-25T11:00:30.000,494,447,23,0,0,47,42,104,220,113,57
2019-08-26,91,2019-08-26T01:49:30.000,2019-08-26T09:56:30.000,487,443,23,0,0,44,43,124,187,118,58
2019-08-27,93,2019-08-27T03:03:30.000,2019-08-27T09:00:00.000,356,330,17,0,0,26,26,87,148,79,42
2019-08-28,89,2019-08-28T00:32:00.000,2019-08-28T10:45:00.000,613,545,33,0,0,68,59,97,287,172,57
2019-08-29,92,2019-08-29T01:26:30.000,2019-08-29T09:55:00.000,508,466,23,0,0,42,42,112,230,116,50
2019-08-30,96,2019-08-30T00:06:30.000,2019-08-30T03:55:30.000,229,217,7,3,0,9,11,38,135,37,19
2019-08-31,90,2019-08-31T01:06:30.000,2019-08-31T10:14:00.000,547,490,27,0,0,57,53,90,268,93,96
2019-09-01,93,2019-09-01T00:57:00.000,2019-09-01T09:21:00.000,504,469,17,0,0,35,30,111,200,135,58
2019-09-02,88,2019-09-01T21:22:00.000,2019-09-02T03:50:00.000,388,343,18,0,0,45,34,37,227,58,66
2019-09-03,94,2019-09-03T02:47:00.000,2019-09-03T09:46:30.000,419,392,18,0,0,27,23,79,215,61,64
2019-09-04,86,2019-09-03T23:56:00.000,2019-09-04T05:59:00.000,363,306,5,1,0,48,8,64,171,77,51
2019-09-06,91,2019-09-05T23:48:30.000,2019-09-06T05:59:00.000,370,328,2,0,0,32,6,72,178,76,44
2019-09-16,89,2019-09-16T01:32:30.000,2019-09-16T09:54:00.000,501,448,31,0,0,53,46,90,254,94,63
2019-09-17,88,2019-09-17T02:20:00.000,2019-09-17T09:12:30.000,412,362,26,0,0,50,44,87,183,89,53
2019-09-18,91,2019-09-18T01:50:00.000,2019-09-18T09:39:30.000,469,426,30,0,0,43,37,88,233,83,65
2019-09-19,90,2019-09-19T02:36:00.000,2019-09-19T10:17:30.000,461,415,28,0,0,46,42,99,218,64,80
2019-09-20,89,2019-09-20T02:33:00.000,2019-09-20T09:08:30.000,395,351,21,0,0,44,44,83,201,37,74
2019-09-21,92,2019-09-21T01:44:30.000,2019-09-21T09:25:00.000,460,420,30,1,0,39,39,71,219,119,51
2019-09-22,95,2019-09-22T01:48:30.000,2019-09-22T10:07:30.000,499,474,13,0,0,25,25,89,228,134,48
2019-09-23,89,2019-09-23T00:44:00.000,2019-09-23T10:29:30.000,585,521,32,0,0,64,56,108,277,121,79
2019-09-24,91,2019-09-24T01:43:30.000,2019-09-24T09:34:30.000,471,430,27,0,0,41,38,91,228,100,52
2019-09-25,94,2019-09-25T01:46:00.000,2019-09-25T08:52:00.000,426,401,18,0,0,25,23,62,179,111,74
2019-09-26,96,2019-09-26T00:03:00.000,2019-09-26T06:28:30.000,385,369,8,0,0,16,11,76,178,83,48
