"","ds","y"
"178",2019-07-10 20:15:00,0
"179",2019-07-10 20:30:00,0
"180",2019-07-10 20:45:00,0
"181",2019-07-10 21:00:00,256
"182",2019-07-10 21:15:00,143
"183",2019-07-10 21:30:00,38
"184",2019-07-10 21:45:00,305
"185",2019-07-10 22:00:00,344
"186",2019-07-10 22:15:00,4
"187",2019-07-10 22:30:00,26
"188",2019-07-10 22:45:00,24
"189",2019-07-10 23:00:00,100
"190",2019-07-10 23:15:00,15
"191",2019-07-10 23:30:00,23
"192",2019-07-10 23:45:00,6
"193",2019-07-11 00:00:00,9
"194",2019-07-11 00:15:00,0
"195",2019-07-11 00:30:00,35
"196",2019-07-11 00:45:00,41
"197",2019-07-11 01:00:00,34
"198",2019-07-11 01:15:00,91
"199",2019-07-11 01:30:00,0
"200",2019-07-11 01:45:00,10
"201",2019-07-11 02:00:00,21
"202",2019-07-11 02:15:00,0
"203",2019-07-11 02:30:00,0
"204",2019-07-11 02:45:00,0
"205",2019-07-11 03:00:00,0
"206",2019-07-11 03:15:00,0
"207",2019-07-11 03:30:00,0
"208",2019-07-11 03:45:00,0
"209",2019-07-11 04:00:00,0
"210",2019-07-11 04:15:00,0
"211",2019-07-11 04:30:00,0
"212",2019-07-11 04:45:00,20
"213",2019-07-11 05:00:00,0
"214",2019-07-11 05:15:00,0
"215",2019-07-11 05:30:00,0
"216",2019-07-11 05:45:00,0
"217",2019-07-11 06:00:00,0
"218",2019-07-11 06:15:00,0
"219",2019-07-11 06:30:00,0
"220",2019-07-11 06:45:00,0
"221",2019-07-11 07:00:00,0
"222",2019-07-11 07:15:00,0
"223",2019-07-11 07:30:00,0
"224",2019-07-11 07:45:00,0
"225",2019-07-11 08:00:00,0
"226",2019-07-11 08:15:00,0
"227",2019-07-11 08:30:00,0
"228",2019-07-11 08:45:00,0
"229",2019-07-11 09:00:00,0
"230",2019-07-11 09:15:00,0
"231",2019-07-11 09:30:00,0
"232",2019-07-11 09:45:00,9
"233",2019-07-11 10:00:00,0
"234",2019-07-11 10:15:00,0
"235",2019-07-11 10:30:00,0
"236",2019-07-11 10:45:00,21
"237",2019-07-11 11:00:00,0
"238",2019-07-11 11:15:00,40
"239",2019-07-11 11:30:00,0
"240",2019-07-11 11:45:00,13
"241",2019-07-11 12:00:00,0
"242",2019-07-11 12:15:00,0
"243",2019-07-11 12:30:00,5
"244",2019-07-11 12:45:00,7
"245",2019-07-11 13:00:00,0
"246",2019-07-11 13:15:00,0
"247",2019-07-11 13:30:00,4
"248",2019-07-11 13:45:00,12
"249",2019-07-11 14:00:00,0
"250",2019-07-11 14:15:00,77
"251",2019-07-11 14:30:00,38
"252",2019-07-11 14:45:00,6
"253",2019-07-11 15:00:00,7
"254",2019-07-11 15:15:00,16
"255",2019-07-11 15:30:00,39
"256",2019-07-11 15:45:00,110
"257",2019-07-11 16:00:00,1001
"258",2019-07-11 16:15:00,0
"259",2019-07-11 16:30:00,300
"260",2019-07-11 16:45:00,169
"261",2019-07-11 17:00:00,644
"262",2019-07-11 17:15:00,1464
"263",2019-07-11 17:30:00,1059
"264",2019-07-11 17:45:00,942
"265",2019-07-11 18:00:00,1241
"266",2019-07-11 18:15:00,440
"267",2019-07-11 18:30:00,263
"268",2019-07-11 18:45:00,5
"269",2019-07-11 19:00:00,0
"270",2019-07-11 19:15:00,13
"271",2019-07-11 19:30:00,39
"272",2019-07-11 19:45:00,24
"273",2019-07-11 20:00:00,933
"274",2019-07-11 20:15:00,1573
"275",2019-07-11 20:30:00,1149
"276",2019-07-11 20:45:00,151
"277",2019-07-11 21:00:00,162
"278",2019-07-11 21:15:00,45
"279",2019-07-11 21:30:00,35
"280",2019-07-11 21:45:00,61
"281",2019-07-11 22:00:00,138
"282",2019-07-11 22:15:00,655
"283",2019-07-11 22:30:00,205
"284",2019-07-11 22:45:00,0
"285",2019-07-11 23:00:00,121
"286",2019-07-11 23:15:00,22
"287",2019-07-11 23:30:00,53
"288",2019-07-11 23:45:00,32
"289",2019-07-12 00:00:00,29
"290",2019-07-12 00:15:00,111
"291",2019-07-12 00:30:00,0
"292",2019-07-12 00:45:00,0
"293",2019-07-12 01:00:00,0
"294",2019-07-12 01:15:00,0
"295",2019-07-12 01:30:00,0
"296",2019-07-12 01:45:00,0
"297",2019-07-12 02:00:00,86
"298",2019-07-12 02:15:00,34
"299",2019-07-12 02:30:00,52
"300",2019-07-12 02:45:00,0
"301",2019-07-12 03:00:00,0
"302",2019-07-12 03:15:00,0
"303",2019-07-12 03:30:00,0
"304",2019-07-12 03:45:00,0
"305",2019-07-12 04:00:00,0
"306",2019-07-12 04:15:00,0
"307",2019-07-12 04:30:00,0
"308",2019-07-12 04:45:00,0
"309",2019-07-12 05:00:00,0
"310",2019-07-12 05:15:00,0
"311",2019-07-12 05:30:00,0
"312",2019-07-12 05:45:00,0
"313",2019-07-12 06:00:00,0
"314",2019-07-12 06:15:00,0
"315",2019-07-12 06:30:00,19
"316",2019-07-12 06:45:00,121
"317",2019-07-12 07:00:00,1251
"318",2019-07-12 07:15:00,805
"319",2019-07-12 07:30:00,43
"320",2019-07-12 07:45:00,78
"321",2019-07-12 08:00:00,347
"322",2019-07-12 08:15:00,993
"323",2019-07-12 08:30:00,1068
"324",2019-07-12 08:45:00,15
"325",2019-07-12 09:00:00,9
"326",2019-07-12 09:15:00,241
"327",2019-07-12 09:30:00,1250
"328",2019-07-12 09:45:00,1161
"329",2019-07-12 10:00:00,35
"330",2019-07-12 10:15:00,120
"331",2019-07-12 10:30:00,0
"332",2019-07-12 10:45:00,328
"333",2019-07-12 11:00:00,530
"334",2019-07-12 11:15:00,678
"335",2019-07-12 11:30:00,0
"336",2019-07-12 11:45:00,130
"337",2019-07-12 12:00:00,0
"338",2019-07-12 12:15:00,0
"339",2019-07-12 12:30:00,0
"340",2019-07-12 12:45:00,0
"341",2019-07-12 13:00:00,0
"342",2019-07-12 13:15:00,0
"343",2019-07-12 13:30:00,0
"344",2019-07-12 13:45:00,12
"345",2019-07-12 14:00:00,0
"346",2019-07-12 14:15:00,0
"347",2019-07-12 14:30:00,0
"348",2019-07-12 14:45:00,0
"349",2019-07-12 15:00:00,4
"350",2019-07-12 15:15:00,0
"351",2019-07-12 15:30:00,23
"352",2019-07-12 15:45:00,0
"353",2019-07-12 16:00:00,20
"354",2019-07-12 16:15:00,158
"355",2019-07-12 16:30:00,111
"356",2019-07-12 16:45:00,26
"357",2019-07-12 17:00:00,2
"358",2019-07-12 17:15:00,0
"359",2019-07-12 17:30:00,47
"360",2019-07-12 17:45:00,77
"361",2019-07-12 18:00:00,384
"362",2019-07-12 18:15:00,12
